threshold,median,mean,min,max,description
0.4,0.48644282651635595,0.48616833319725017,0.46559633027522934,0.5035903101081038,"MLPRegressor, hidden layers: (100,), solver: lbfgs"
0.4,0.5062530480215393,0.5073809357329855,0.48642699926632427,0.5297279140073899,"MLPRegressor, hidden layers: (60, 60), solver: lbfgs"
0.4,0.49311428235846844,0.5020048877984657,0.48717948717948717,0.5279328855439562,"MLPRegressor, hidden layers: (60, 60, 60), solver: lbfgs"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: lbfgs"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (100,), solver: sgd"
0.08,0.03647214854111406,0.03374003375282251,0.015471167369901548,0.04632152588555858,"MLPRegressor, hidden layers: (60, 60), solver: sgd"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (60, 60, 60), solver: sgd"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: sgd"
0.4,0.41852072903182824,0.4188298433981643,0.4005252540631066,0.43362004487658934,"MLPRegressor, hidden layers: (100,), solver: adam"
0.4,0.4873556486612305,0.4940339021479372,0.4791356184798808,0.5321416942297476,"MLPRegressor, hidden layers: (60, 60), solver: adam"
0.4,0.48649007609879613,0.48754218520451065,0.4660564454614798,0.530306419145605,"MLPRegressor, hidden layers: (60, 60, 60), solver: adam"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: adam"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: lbfgs"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: lbfgs"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60, 60), solver: lbfgs"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: lbfgs"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: sgd"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: sgd"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60, 60), solver: sgd"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: sgd"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: adam"
0.08,0.5003641230252657,0.506491672347136,0.48415622697126015,0.5561143053290998,"MLPClassifier, hidden layers: (60, 60), solver: adam"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60, 60), solver: adam"
0.08,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: adam"
