threshold,median,mean,min,max,description,,,
0.153191489,0.537151237,0.54251545,0.533627884,0.569709107,"Random forest - Depth 3, estimators: 90",,,
0.153942428,0.538656023,0.543351511,0.533627884,0.569709107,"Random forest - Depth 3, estimators: 100",,,
0.154693367,0.541063781,0.544154097,0.533627884,0.569709107,"Random forest - Depth 3, estimators: 120",,,
0.155444305,0.541063781,0.544591956,0.533627884,0.572336266,"Random forest - Depth 3, estimators: 130",,,
0.155444305,0.539454607,0.544055565,0.533627884,0.572336266,"Random forest - Depth 3, estimators: 140",,,
0.155444305,0.539454607,0.544398068,0.533627884,0.572336266,"Random forest - Depth 3, estimators: 150",,,
0.153191489,0.537151237,0.541849557,0.532141694,0.567199938,"Random forest - Depth 3, estimators: 110",,,
0.150938673,0.537045049,0.5412021,0.531636364,0.567199938,"Random forest - Depth 3, estimators: 80",,,
0.149436796,0.537143101,0.543438175,0.529315293,0.564799638,"Random forest - Depth 3, estimators: 70",,,
0.148685857,0.535667638,0.542647182,0.527932886,0.564799638,"Random forest - Depth 3, estimators: 50",,,
0.14718398,0.543201609,0.541601552,0.526239067,0.556134428,"Random forest - Depth 3, estimators: 60",,,
0.150187735,0.529521604,0.530842399,0.521666392,0.541948405,"Random forest - Depth 2, estimators: 120",,,
0.150938673,0.528624089,0.530543227,0.521666392,0.541948405,"Random forest - Depth 2, estimators: 130",,,
0.151689612,0.528624089,0.530543227,0.521666392,0.541948405,"Random forest - Depth 2, estimators: 140",,,
0.151689612,0.528624089,0.530543227,0.521666392,0.541948405,"Random forest - Depth 2, estimators: 150",,,
0.149436796,0.532188882,0.53250236,0.521666392,0.54382535,"Random forest - Depth 2, estimators: 100",,,
0.150187735,0.531493887,0.532053978,0.521666392,0.54382535,"Random forest - Depth 2, estimators: 110",,,
0.147934919,0.537201239,0.536375336,0.521666392,0.552266082,"Random forest - Depth 2, estimators: 50",,,
0.147934919,0.537201239,0.536375336,0.521666392,0.552266082,"Random forest - Depth 2, estimators: 60",,,
0.148685857,0.538575371,0.537602308,0.521666392,0.552266082,"Random forest - Depth 2, estimators: 70",,,
0.150187735,0.538575371,0.537602308,0.521666392,0.552266082,"Random forest - Depth 2, estimators: 80",,,
0.148685857,0.538575371,0.537602308,0.521666392,0.552266082,"Random forest - Depth 2, estimators: 90",,,
0.153942428,0.535236824,0.536988601,0.518964332,0.5625,"Random forest - Depth 4, estimators: 130",,,
0.153942428,0.532428817,0.53515093,0.518463486,0.558173785,"Random forest - Depth 4, estimators: 150",,,
