threshold,median,mean,min,max,description
0.207259074,0.532253853,0.537599105,0.501398767,0.600273203,"Random forest - Depth 4, estimators: 120"
0.208010013,0.534339955,0.543921265,0.506355064,0.597203688,"Random forest - Depth 4, estimators: 70"
0.205757196,0.538245577,0.537246511,0.500684775,0.596032187,"Random forest - Depth 4, estimators: 110"
0.234292866,0.514502895,0.534225676,0.494219653,0.595060238,"Random forest - Depth 5, estimators: 60"
0.207259074,0.532997153,0.542521392,0.506355064,0.590662425,"Random forest - Depth 4, estimators: 60"
0.232790989,0.51278275,0.531778188,0.494219653,0.587643441,"Random forest - Depth 5, estimators: 50"
0.199749687,0.537740628,0.540896663,0.518796992,0.583756438,"Random forest - Depth 3, estimators: 140"
0.198998748,0.535414676,0.53991931,0.516817269,0.582066869,"Random forest - Depth 3, estimators: 150"
0.195244055,0.533232111,0.541461444,0.516300592,0.575757576,"Random forest - Depth 2, estimators: 70"
0.196745932,0.533232111,0.541461444,0.516300592,0.575757576,"Random forest - Depth 2, estimators: 80"
0.195994994,0.533232111,0.541461444,0.516300592,0.575757576,"Random forest - Depth 2, estimators: 90"
0.195994994,0.533232111,0.541308781,0.515384615,0.575757576,"Random forest - Depth 2, estimators: 100"
0.212515645,0.53869735,0.543728704,0.533627884,0.569709107,"Random forest - Depth 3, estimators: 130"
0.194493116,0.526734222,0.530363635,0.50205264,0.569230769,"Random forest - Depth 4, estimators: 150"
0.211013767,0.544085644,0.54576768,0.527932886,0.567199938,"Random forest - Depth 3, estimators: 120"
0.120901126,0.531844575,0.539101357,0.517781257,0.565891473,"Random forest - Depth 1, estimators: 130"
0.120150188,0.531844575,0.538869207,0.517781257,0.565891473,"Random forest - Depth 1, estimators: 140"
0.120901126,0.531844575,0.539101357,0.517781257,0.565891473,"Random forest - Depth 1, estimators: 150"
0.210262829,0.541824255,0.543184072,0.526239067,0.564799638,"Random forest - Depth 3, estimators: 110"
0.189987484,0.531383884,0.530894943,0.494561293,0.563746439,"Random forest - Depth 5, estimators: 70"
0.134418023,0.530392154,0.531748037,0.509081983,0.5625,"Random forest - Depth 1, estimators: 50"
0.134418023,0.530392154,0.531748037,0.509081983,0.5625,"Random forest - Depth 1, estimators: 60"
0.1359199,0.530392154,0.531748037,0.509081983,0.5625,"Random forest - Depth 1, estimators: 70"
0.1359199,0.530392154,0.531748037,0.509081983,0.5625,"Random forest - Depth 1, estimators: 80"
0.208010013,0.536911207,0.539838235,0.532141694,0.560293616,"Random forest - Depth 3, estimators: 60"
0.205757196,0.541517649,0.542006512,0.524635931,0.560293616,"Random forest - Depth 3, estimators: 50"
0.189236546,0.530863756,0.527861121,0.495281984,0.558536865,"Random forest - Depth 5, estimators: 80"
0.206508135,0.541648648,0.542615914,0.531636364,0.558173785,"Random forest - Depth 3, estimators: 70"
0.208760951,0.540968847,0.541537158,0.529727914,0.558173785,"Random forest - Depth 3, estimators: 100"
0.208010013,0.53493332,0.539069212,0.52796866,0.558173785,"Random forest - Depth 3, estimators: 80"
0.187734668,0.528252974,0.525460211,0.494561293,0.55602537,"Random forest - Depth 5, estimators: 120"
0.186232791,0.526673598,0.524814563,0.493846154,0.55602537,"Random forest - Depth 5, estimators: 110"
0.18698373,0.530317298,0.525942659,0.494561293,0.554791409,"Random forest - Depth 5, estimators: 100"
0.208010013,0.542504057,0.541360529,0.529727914,0.552275523,"Random forest - Depth 3, estimators: 90"
0.20951189,0.530216598,0.532273161,0.521666392,0.546476619,"Random forest - Depth 2, estimators: 150"
0.205757196,0.531493887,0.531812651,0.521666392,0.54382535,"Random forest - Depth 2, estimators: 50"
0.205757196,0.531493887,0.531812651,0.521666392,0.54382535,"Random forest - Depth 2, estimators: 60"
0.207259074,0.532188882,0.532743687,0.521666392,0.54382535,"Random forest - Depth 2, estimators: 110"
0.132916145,0.52837112,0.528129923,0.511029412,0.543703704,"Random forest - Depth 1, estimators: 100"
0.135168961,0.52837112,0.528129923,0.511029412,0.543703704,"Random forest - Depth 1, estimators: 110"
0.135168961,0.52837112,0.528129923,0.511029412,0.543703704,"Random forest - Depth 1, estimators: 120"
0.207259074,0.530216598,0.531532108,0.521666392,0.543478261,"Random forest - Depth 2, estimators: 120"
0.207259074,0.530216598,0.531532108,0.521666392,0.543478261,"Random forest - Depth 2, estimators: 130"
0.20951189,0.530216598,0.531773435,0.521666392,0.543478261,"Random forest - Depth 2, estimators: 140"
0.181727159,0.510362332,0.518673732,0.503686275,0.543160656,"Random forest - Depth 4, estimators: 50"
0.182478098,0.514850413,0.519857432,0.50262223,0.543160656,"Random forest - Depth 4, estimators: 130"
0.182478098,0.513954828,0.518653439,0.502075202,0.540971917,"Random forest - Depth 4, estimators: 140"
0.134418023,0.530392154,0.527980746,0.509081983,0.540629993,"Random forest - Depth 1, estimators: 90"
0.179474343,0.509954296,0.515603576,0.498697917,0.53989281,"Random forest - Depth 4, estimators: 100"
0.179474343,0.509120213,0.514974399,0.497929038,0.538823529,"Random forest - Depth 4, estimators: 80"
0.177972466,0.5049096,0.512785326,0.497929038,0.536713449,"Random forest - Depth 4, estimators: 90"
0.172715895,0.518264864,0.517066218,0.49947192,0.534639758,"Random forest - Depth 5, estimators: 140"
0.171214018,0.522715981,0.519053002,0.494901961,0.531593538,"Random forest - Depth 5, estimators: 130"
0.171964956,0.526093985,0.520230913,0.495651734,0.530594442,"Random forest - Depth 5, estimators: 150"
0.170463079,0.520929236,0.517385195,0.494156637,0.527643336,"Random forest - Depth 5, estimators: 90"
